content,Positive,Neutral,Negative,Sentiment
仅仅是铺陈现实，,0.49007621,,0.50992379,negative
使得影片的现实真实性有点削弱。,0.4961922,,0.5038078,negative
在她们年老时这一切真正变成了现实，,0.46254533,,0.53745467,negative
不敢想象当时现实中是怎样的磨难。,0.48558497,,0.51441503,negative
这个长镜头就是单纯地在创造现实。,0.51093432,,0.48906568,positive
我还有一种感觉—那个电影里唯一的镜头切断之后的剧情整个就变得有些超现实。,0.39778091,,0.60221909,negative
“一枪打入主观”、“由二分的现实与非现实构成轮回”这一读解方向也不容忽视，,0.46799046,,0.53200954,negative
也是在这场戏后进入了更加非现实美的世界，,0.39337319,,0.60662681,negative
千万别看看了毁三观日剧还是那个善于治愈或者剖析现实的日剧嘛？,0.43843141,,0.56156859,negative
这片子很现实很应景,0.59010318,,0.40989682,positive
但片子用厉鬼来把现实削弱了，,0.45651611,,0.54348389,negative
也暗示了一种模糊的现实现象。,0.44278147,,0.55721853,negative
靠鬼来复仇注定是现实无可奈何的,0.33216267,,0.66783733,negative
这很容易让人联想到美国现实版的“弗洛伊德”事件……,0.45259883,,0.54740117,negative
现实要比影片更加真实，,0.36978484,,0.63021516,negative
为了现实拼凑的吧,0.49614732,,0.50385268,negative
开始以为是现实题材的电影，,0.49162762,,0.50837238,negative
现实的恶警和种族歧视，,0.27035012,,0.72964988,negative
所以拍现实题材的导演还是少碰漫改片，,0.48417486,,0.51582514,negative
甚至在幻想与现实的缝隙之间，,0.37119158,,0.62880842,negative
以为是风的电话那种结合现实的情怀片，,0.32219262,,0.67780738,negative
让历史得以照进现实。,0.44716299,,0.55283701,negative
还是电影就还是那一层不容道破的视听现实,0.3592636,,0.6407364,negative
先锋又超现实的表现手法增加的审美趣味和浓烈的情绪更令人记忆深刻，,0.5384179,,0.4615821,positive
而这一现实其实反而呼应了片中的句子，,0.49826143,,0.50173857,negative
让观众（现实里）始终是影片里观看“最后一场战争电影”的观众（电影里），,0.49373186,,0.50626814,negative
很久没看完一部电影不自觉的流泪所有的光怪陆离先锋魔幻回归成了导演给电影最后的情书爱与死亡战争与荧幕战争下渺小的人现实中的谎言谎言中的历史跟着导演镜头里的千年女优都活了过来。,0.4187514,,0.5812486,negative
离开那小小剧场、现实远比梦境残忍凄凉、但又充满希望。,0.45030345,,0.54969655,negative
「电影人用电影写给观众的信」介乎于幻想与幻想与幻想之间的现实，,0.47389714,,0.52610286,negative
大林打破了现实与想象的区隔，,0.41891983,,0.58108017,negative
发挥电影融合现实的幻想的能力贯穿起来的日本战争电影史。,0.48916417,,0.51083583,negative
两人一体、与海边电影院共生、依托战争电影进行着自我追溯与表达、在胶片和现实中共同“燃烧”的希子，,0.55678146,,0.44321854,positive
也有真人该有的现实感。,0.49909539,,0.50090461,negative
日本喜剧是真会编故事你说这个故事很复杂吗也不是就是一个杀手回归正常人生活却被现实逼得重出江湖的故事，,0.4824857,,0.5175143,negative
」高墙铁壁的现实，,0.37784558,,0.62215442,negative
现实与非现实的相互关系映射出彼此互为追逐对象的自由。,0.47344146,,0.52655854,negative
其实现实会有这样的朋友，,0.49727717,,0.50272283,negative
【この棘は抜けないままでいい、ずっと忘れないでいるから、さよならくちびる、私は今誰に別れを告げるの、君を見つめながら】harureo真不考虑在现实生活里继续搞下去嘛！,0.48519069,,0.51480931,negative
还是现实的柯基比较可爱,0.50435466,,0.49564534,positive
结果是再没有更值得一提的电影和现实。,0.51598964,,0.48401036,positive
“在现实中坏人总是会赢”。,0.490062,,0.509938,negative
如果现实中也可以这样该多好。,0.69381843,,0.30618157,positive
牙仙那段成功将故事与现实关联，,0.50550776,,0.49449224,positive
从前面的纯讲故事到最后故事与现实之间产生交集，,0.48786032,,0.51213968,negative
4现实-电视剧情-过去交织，,0.48731205,,0.51268795,negative
虽然现实和电影是相反的，,0.49989632,,0.50010368,negative
最后电视里的人和现实中的人的同步挺好的，,0.55785488,,0.44214512,positive
梦境投送现实，,0.47981477,,0.52018523,negative
有现实的夹杂，,0.47335613,,0.52664387,negative
那些双眼放光的黑影就是现实中的人，,0.49227317,,0.50772683,negative
可能是现实中的医护人员，,0.5011359,,0.4988641,positive
赤裸裸的现实和困境遭遇才是人生主题，,0.48474826,,0.51525174,negative
带着现实讽刺，,0.3143333,,0.6856667,negative
这电影即是虚幻也是现实。,0.4774515,,0.5225485,negative
流量致死的现实被狠狠揭穿，,0.47300903,,0.52699097,negative
影片想要表达的核心含义乃是鞭挞人性、讽刺现实（尤其是暗讽宗教的虚伪与黑暗），,0.30959664,,0.69040336,negative
其实挺讽刺现实的一电影,0.27258559,,0.72741441,negative
成员内部矛盾激化导致很多现实秘密的暴露，,0.49246619,,0.50753381,negative
这也太超现实了……,0.53183275,,0.46816725,positive
毕竟现实内外，,0.49780811,,0.50219189,negative
人物演不出应有的时代感与贴合现实的人性纹理（导演占多半责任），,0.45305935,,0.54694065,negative
在这里观众遭遇现实。”,0.49086286,,0.50913714,negative
小的剪辑节拍几乎就是按现实时间1:1同步，,0.49857093,,0.50142907,negative
胶片的交付/遗失也恰恰证明了这种试图将影像与现实叠合的可能。,0.42244107,,0.57755893,negative
既没有对社会现实的反映，,0.41239373,,0.58760627,negative
电影成了所有人逃避现实的梦境。,0.44536378,,0.55463622,negative
虚构与现实、幕布前与后、创作与观看形为的互动形成了活跃隐喻。,0.50605307,,0.49394693,positive
果然魔幻现实主义。,0.50020062,,0.49979938,positive
也是现实。,0.49996227,,0.50003773,negative
在现实黑暗中笼住一抹光亮。,0.46341469,,0.53658531,negative
虚妄的美好便为现实的倾轧所取代，,0.30933492,,0.69066508,negative
喜欢这类现实题材的电影。,0.72516505,,0.27483495,positive
凶杀案、抑郁症、超现实神秘主义托梦…配角关系也比较复杂。,0.42547273,,0.57452727,negative
故事建立现实和梦境两层时空，,0.49939757,,0.50060243,negative
很多场景的超现实表达与反讽好有意思。,0.56082917,,0.43917083,positive
"看样子还有系列现实版蝙蝠侠与罗宾汉,",0.51101746,,0.48898254,positive
还有丑小鸭努力也成不了白天鹅的现实。,0.38916796,,0.61083204,negative
喜剧的糖衣冲淡了很多现实的触目惊心，,0.52000953,,0.47999047,positive
或者说是现实版的创造101。,0.49985912,,0.50014088,negative
芊芊小果白糖皮鲍十在现实生活中沉睡了十五年；带着十五年前的梦想的春夏觉醒了，,0.49605926,,0.50394074,negative
来表现对现实不认输的点，,0.45192342,,0.54807658,negative
感觉是一个现实主义题材，,0.49728268,,0.50271732,negative
因为全片好的部分都是现实主义的段落，,0.43251155,,0.56748845,negative
已经认清现实的人，,0.46122121,,0.53877879,negative
四名舞蹈女孩追求梦想的现实苦楚，,0.48824867,,0.51175133,negative
根本不用谈逻辑和现实，,0.47714704,,0.52285296,negative
本质上还是一部无关现实仅靠意淫+打鸡血的造神运动。,0.49559632,,0.50440368,negative
现实老到掉牙的套路，,0.46718661,,0.53281339,negative
从苦哈哈的底层现实生活中回归到追求梦想的行列最后改变自己也改变世界的故事。,0.50853839,,0.49146161,positive
历史和现实的交错，,0.29406897,,0.70593103,negative
不过开头超现实的客家板凳龙表演很惊艳，,0.60949769,,0.39050231,positive
同样的电影/现实的青少年迷茫题材无数次重现，,0.33304397,,0.66695603,negative
她又苍白得像一块没有经过日光浴的肉——无论如何都赢不了现实这只手。,0.42533552,,0.57466448,negative
这是不是也折射了中产影评白人的集体愧疚和伪善还有堪忧的种族现实。,0.27711825,,0.72288175,negative
正如现实中的吴谢宇案与《阳光普照》中的哥哥。,0.54712945,,0.45287055,positive
作为一个浪漫情怀为零的理性的现实主义者，,0.4529374,,0.5470626,negative
现实失意无望的人来说，,0.35177087,,0.64822913,negative
我忽然觉得它和现实如此贴近。,0.48531356,,0.51468644,negative
而后为保密诛杀团队；建筑师带队走后门逃出苏醒；现实事件是怀才不遇建筑师被邪教诓骗说投资，,0.4239015,,0.5760985,negative
回归现实。,0.49585454,,0.50414546,negative
通过现实困境与梦境美好的鲜明对比，,0.50200164,,0.49799836,positive
现实的设备不能新一些，,0.40424899,,0.59575101,negative
梦境现实的探讨与廉价打怪没有平衡好，,0.4181937,,0.5818063,negative
外加开放式结尾带有磨损痕迹的建筑模型是现实还是「盗梦空间」？,0.49468523,,0.50531477,negative
又如何证明你所处意识空间为「绝对现实」？,0.49808261,,0.50191739,negative
现实肉体还是要靠机器维持营养供给，,0.51366558,,0.48633442,positive
loser逃避现实的把戏罢了，,0.29051161,,0.70948839,negative
到底哪个空间才是原本认为的现实，,0.48054346,,0.51945654,negative
活在现实中还是想象的世界里？,0.34469177,,0.65530823,negative
影片的超现实感，,0.49973482,,0.50026518,negative
无数怪物疯狂追杀人类https://www.bilibili.com/video/BV1t7411o7us现实里一事无成，,0.40351305,,0.59648695,negative
现实世界的不如意，,0.49275924,,0.50724076,negative
回到现实直接崩……,0.48376955,,0.51623045,negative
现实中想法太超前，,0.51077788,,0.48922212,positive
也相比之前的颇有现实意义，,0.50196258,,0.49803742,positive
在现实利益面前不堪一击。,0.47089116,,0.52910884,negative
漏洞太多就不说了…最后结尾倒是有点现实主义教育意义在里面…曾经的日本也觉得自己崛起了…结果作死了…我们要走的路更多…,0.37095517,,0.62904483,negative
让沉迷战争的国民接受现实。,0.49649334,,0.50350666,negative
不用看的太上纲上线…因为这故事真的一点也不现实，,0.30194929,,0.69805071,negative
现实中这样的人是最讨厌的，,0.28742,,0.71258,negative
夸张的“戏剧”真正成为“现实”的投射。,0.49420273,,0.50579727,negative
现实世界明明那么多偏见，,0.32611169,,0.67388831,negative
真正提升电影品质的是后面现实部分的讨论。,0.50909076,,0.49090924,positive
郑多多是世故现实，,0.49386491,,0.50613509,negative
现实诱奸了理想主义。,0.50017237,,0.49982763,positive
你臣服于现实，,0.42102935,,0.57897065,negative
现实就有借口堵你的嘴，,0.40711932,,0.59288068,negative
他们叫它现实。,0.35648933,,0.64351067,negative
逐渐拐入严肃的社会议题；以爱情喜剧外衣包裹的现实题材，,0.50023218,,0.49976782,positive
比起选择理想还是现实，,0.50199742,,0.49800258,positive
爱情现实全都解决啊。,0.4946556,,0.5053444,negative
因此这个人物身上充满了并非现实所困的摇摆不定（简而言之就是渣），,0.39398394,,0.60601606,negative
每个人物都很畸形以及这片子最可恶的在于强行输出一套矫枉过正的价值取向故事看似建立在现实基础之上实际上又是完全扭曲现实的。,0.35692831,,0.64307169,negative
将直白到冷酷的社会现实问题融入到童话爱情的文本里，,0.48033979,,0.51966021,negative
电影触及的阶层鸿沟及社会机制可谓现实到细思极恐，,0.41039479,,0.58960521,negative
而大量现实问题的涉及膈应人程度不亚于《欢乐颂》和《都挺好》，,0.66470965,,0.33529035,positive
爱情和追求在现实面前变得不堪一击。,0.47419987,,0.52580013,negative
莫默也是）的两难抉择表面上是遵从内心还是向现实妥协，,0.46833474,,0.53166526,negative
是那种价值观特别恶臭的电影从头到尾我都在想怎么能编出这么恶心视女人和底层北漂为玩物的片子非常非常恶心哪怕是反映现实也非常恶臭因为根本没思考完全是拿中国社会的恶臭价值观来作戏的集恶臭之大成吴昱翰可以试试文章的路线任素汐完全不适合角色再见,0.28174493,,0.71825507,negative
这部电影就是反现实的，,0.3689607,,0.6310393,negative
虽然这样的结局其实是挺没现实根基的，,0.49889124,,0.50110876,negative
现实的老妈，,0.33731315,,0.66268685,negative
所谓的现实结合也是段子式的，,0.49289017,,0.50710983,negative
但背后都是赤裸裸的现实，,0.37928751,,0.62071249,negative
又做出了一个看似非常现实的议题：不说假话能不能在这个现代社会上生存？,0.33314778,,0.66685222,negative
不仅将现实舞台化，,0.4623017,,0.5376983,negative
用现实的窘境压迫荧屏内外的人，,0.35004736,,0.64995264,negative
伤害女友才是现实的模样，,0.30573767,,0.69426233,negative
现实哪有影片结尾那么明媚、温馨和理想化。,0.60732746,,0.39267254,positive
把被现实扭曲了的人格真实呈现出来，,0.41721241,,0.58278759,negative
但遗憾的是它变成了“原生家庭对现实利益的索求”。,0.35559611,,0.64440389,negative
就会有残酷的现实。,0.28289562,,0.71710438,negative
情节转折生硬刻意缺乏现实逻辑」的观感依然延续，,0.44159253,,0.55840747,negative
）…为了追求个人利益可以使心机耍计俩（放在现实里，,0.56496513,,0.43503487,positive
但是在现实里，,0.49182915,,0.50817085,negative
现实中还不够多嘛，,0.41240687,,0.58759313,negative
现实以身体性的存在涌入电影。,0.49582845,,0.50417155,negative
以至于价值观的冲突总能掩盖现实的单一。,0.46060712,,0.53939288,negative
深刻现实。,0.50000506,,0.49999494,positive
这些笑点流露出太多现实生活中的亲对子的强势……,0.48762291,,0.51237709,negative
之前有人分析云：中国式感情的现实面呈现到头来总是经济问题，,0.49929928,,0.50070072,negative
有人说是探讨现实，,0.42345681,,0.57654319,negative
没看出来哪有现实了，,0.49771583,,0.50228417,negative
但也不要太过现实。,0.4988601,,0.5011399,negative
里面提供的处境和场景以及关系社会都是这个时代年轻人正在面对的现实。,0.41750381,,0.58249619,negative
现实情景要更恶心人得多。,0.32440029,,0.67559971,negative
童话般的结局消融了仅存的现实感，,0.49340511,,0.50659489,negative
没想到看似轻快的都市喜剧还能带出如此现实且尖锐的社会问题，,0.55840995,,0.44159005,positive
剩下的是悲喜交加的现实。,0.36990314,,0.63009686,negative
然而为了这个现实与理想的清楚大道理，,0.50175215,,0.49824785,positive
尤其是当你明白这件事在现实中实现的可能性太小的时候。,0.48207538,,0.51792462,negative
不是现实，,0.48664342,,0.51335658,negative
刚冒出头来的创作者往往自带一些现实的淋漓感，,0.44219135,,0.55780865,negative
题材和故事都更贴近现实。,0.4966596,,0.5033404,negative
现实设定，,0.49980455,,0.50019545,negative
现实可能比这要残忍，,0.48601221,,0.51398779,negative
其次电影的现实层面的意义也非常老旧，,0.28686246,,0.71313754,negative
然而现实不都是渣男得偿所愿了吗？,0.40213018,,0.59786982,negative
可能是半个悲剧、半个现实、半个社会...表面上看是喜剧，,0.42424265,,0.57575735,negative
并巧妙融入性喜剧、荒诞感、现实主义等元素。,0.51072258,,0.48927742,positive
也很现实。,0.49997298,,0.50002702,negative
都是基于现实的。,0.48722107,,0.51277893,negative
不免过于超现实；而书信引发的代际间时空游弋，,0.49499572,,0.50500428,negative
仿佛知道了一条现实的平行世界线。,0.4765475,,0.5234525,negative
最后充满概念混淆和所谓「社会残酷现实」的说教也不过是为了树立一个伟光正的黑人英雄形象。,0.42123131,,0.57876869,negative
现实是一个黑账U盘就能解决所有问题吗？,0.43742771,,0.56257229,negative
现实生活中却已患癌多年，,0.48596336,,0.51403664,negative
现实和回忆双线塑造雪橇犬多哥的经历，,0.47696194,,0.52303806,negative
即使现实故事里他们确实达成了这种传奇（不过我觉得还是过于玄乎，,0.50031399,,0.49968601,positive
中央公园里的Balto才是赤裸裸的现实！,0.53572019,,0.46427981,positive
开始拿僵尸电影讽刺现实了。,0.29798293,,0.70201707,negative
有些许的某些社会现实消极看法：“宁静小镇”“让美国重新白起来”“WIFI”，,0.48395698,,0.51604302,negative
阐释或者反讽现实需求，,0.49388318,,0.50611682,negative
再点缀些超现实元素，,0.50351992,,0.49648008,positive
以及超现实元素和武士道的引入，,0.50389709,,0.49610291,positive
贾木许还是有批判现实的需求的。,0.42505635,,0.57494365,negative
操蛋的现实逼得贾木许都开始针砭时弊了……,0.28022885,,0.71977115,negative
轻描淡写的现实批判在一团乱麻的叙事情节里浮出水面，,0.36538412,,0.63461588,negative
倒不如说是编导对于现实社会既可爱又恶意满满的嘲讽；黑命贵已成了老美政治正确的标配，,0.42272305,,0.57727695,negative
现实中要有信念，,0.50057799,,0.49942201,positive
镜像人物在现实/舞台两个空间的游走（高度形式化），,0.56179123,,0.43820877,positive
果然还是现实高于戏剧啊。,0.48043167,,0.51956833,negative
现实和戏剧的虚虚实实，,0.49425384,,0.50574616,negative
现在与过去、现实与戏剧、自由与束缚、塑造与反塑造，,0.49407461,,0.50592539,negative
舞台也屡屡被现实入侵，,0.38377685,,0.61622315,negative
而戏剧自以为与现实能有着自如的距离，,0.45943098,,0.54056902,negative
陈建斌大胆摒弃了绝大多数的现实背景，,0.47610205,,0.52389795,negative
不禁感慨唏嘘：艺术真实往往比现实更真实动人。,0.57234241,,0.42765759,positive
借由话剧对现实的搬演，,0.47608898,,0.52391102,negative
与老马一家现实的交叉互动。,0.37883343,,0.62116657,negative
2.前半程偶尔会出戏(推测可能是因为演员现实身份原因，,0.49229089,,0.50770911,negative
强行想表现社会现实人生道理，,0.45176502,,0.54823498,negative
同时再借助话剧团排演的戏剧内外的融合与冲突充分探讨了本我、客我之间的关系以及戏剧与现实的真真假假。,0.46832532,,0.53167468,negative
情节的推进、和对现实与艺术割裂的探讨都处理的很到位，,0.5276206,,0.4723794,positive
老婆女儿唯二现实角色实在牵强，,0.562802,,0.437198,positive
没有现实的依傍，,0.47578628,,0.52421372,negative
竟不知道什么才是现实。,0.41601817,,0.58398183,negative
现实中要有信念，,0.50057799,,0.49942201,positive
还是血淋淋的现实？,0.33273586,,0.66726414,negative
还搁那混淆梦境现实的分别，,0.41907664,,0.58092336,negative
拉美魔幻现实主义入侵，,0.49762456,,0.50237544,negative
戏剧与现实交错，,0.48149362,,0.51850638,negative
浪漫与现实共存。,0.50003006,,0.49996994,positive
要么依托对普遍现实困境的深度解剖和反思，,0.48776632,,0.51223368,negative
以及虚构的电影与映射的现实形成三层互文关系，,0.46969762,,0.53030238,negative
每个角色都揭开现实生活的起始源头，,0.49657662,,0.50342338,negative
阿蓝为了阿盈放弃回现实，,0.4546753,,0.5453247,negative
妈宝男和徒步登上用具店的老板现实世界死了，,0.4157927,,0.5842073,negative
女警还在结界里面现实失踪了她最惨==人家一正常人被拉进去后女主让人家自己先走够个屁啊人家都没有东西引导出去。,0.30955359,,0.69044641,negative
还有就是结界难道不是就是把现实的人困在里面吗？,0.45877942,,0.54122058,negative
不过总体而言还是一部相当不错而又有教育与现实意义的电影，,0.61522162,,0.38477838,positive
现实中带着一点奇幻、一点无厘头，,0.48676994,,0.51323006,negative
况且这现实吗？,0.49758918,,0.50241082,negative
用开心麻花的投机口吻和二流印度电影的过火剧作做现实表达？,0.49019449,,0.50980551,negative
但绝对不会现实。,0.48575989,,0.51424011,negative
......评论里有扣现实说事的，,0.47738709,,0.52261291,negative
以前的很多国产片是太过于脱离现实，,0.47558911,,0.52441089,negative
还是输在了要得太多、脱离现实和不懂节制上。,0.49065939,,0.50934061,negative
成为了《银河补习班》的现实主义之笔，,0.44871107,,0.55128893,negative
然而现实是，,0.49770321,,0.50229679,negative
虽然现实中马浩文这样的父亲不多，,0.53969506,,0.46030494,positive
也是这部电影存在的现实意义,0.49291548,,0.50708452,negative
对于应试教育和现实体制的批判纯粹停留在沾沾自喜想一出是一出的程度，,0.45550361,,0.54449639,negative
是我们拧巴现实的投射。,0.43166263,,0.56833737,negative
现实题材，,0.49999736,,0.50000264,negative
至少敢于直面残酷的现实生活，,0.45011722,,0.54988278,negative
觉得每个人物都不太现实，,0.40761322,,0.59238678,negative
蠢在完全无视现实逻辑，,0.27506724,,0.72493276,negative
虽然很多部分的处理违背了现实和我国部分国情，,0.49634315,,0.50365685,negative
在现实与想象、当下与童年记忆间不断调停。,0.48460357,,0.51539643,negative
而晦暗现实是一间搬空的公寓，,0.45297714,,0.54702286,negative
在片中也是几次现实的狼狈（办公室、餐厅）之后，,0.37513373,,0.62486627,negative
才越加确认歌舞段是为表现一种超现实的美好,0.56821589,,0.43178411,positive
☆：3-3.5经典时期的歌舞片努力弥补着“现实”与幻想段落的缝隙，,0.49972131,,0.50027869,negative
歌舞和现实的落差从未被如此地放大过。,0.31102769,,0.68897231,negative
催眠是逃避现实的出口，,0.35261061,,0.64738939,negative
另外就是现实里这么帅的死宅加这种性格的真的不存在的嗯哼！,0.33712479,,0.66287521,negative
空想类的爱好者必然会喜欢…就是郭导即使减弱表达扭曲现实也要维护的「美」。,0.42303117,,0.57696883,negative
最后搞了个超现实煽情歌颂？,0.48490296,,0.51509704,negative
因为现实中一般不会那么容易被拍到，,0.50154143,,0.49845857,positive
说事魔幻现实主义吧…也有点太飘了，,0.47771809,,0.52228191,negative
在现实主义和超现实、类型感之间犹犹豫豫，,0.45447222,,0.54552778,negative
结尾的超现实处理更是让人尴尬至极，,0.45949297,,0.54050703,negative
一点也不现实，,0.27392568,,0.72607432,negative
#FIRST①主线不明节奏不好网红线、父子线、黑化线描述不清普通的剧本配上了普通的拍法②开头几场戏快速刻画出人物困境与模仿小丑一场戏不错③最后一场超现实尬死④易烊千玺学学⑤逻辑有问题:怎么没人认出街道侠⑥张颂文演得真好简直就是我爸,0.396341,,0.603659,negative
超现实片段的存在也未能增添情绪渲染，,0.51559952,,0.48440048,positive
后面就偏向超现实想拔高，,0.51166516,,0.48833484,positive
最后的决战太超现实了，,0.49647656,,0.50352344,negative
然而现实已经逐渐告诉我有些时候不行是真的不行，,0.33296013,,0.66703987,negative
没有任何基于现实社会问题的部分。,0.48728466,,0.51271534,negative
就像浮士德这样经典有效的超现实寓言一样，,0.55603595,,0.44396405,positive
被包裹在黑暗压抑现实里的女主、与现实一体一面的男子们，,0.4653442,,0.5346558,negative
恰恰说明了架空世界的设计是来源于对现实题材的不自信和基础不扎实。,0.49827899,,0.50172101,negative
犯罪部分在现实中感觉是无法掩盖的说不过去。,0.29654647,,0.70345353,negative
也是创作者对于现实的某种投射。,0.48861256,,0.51138744,negative
作者理解的女性化与现实有太大的有误差2020.12.7海影节,0.43590638,,0.56409362,negative
来描述了现代女性在生活职场和感情中遭遇的现实。,0.49776646,,0.50223354,negative
很有现实意义，,0.50075969,,0.49924031,positive
这部电影跟导演其他作品相比真的略显逊色很多台词让人觉得接受无能甚至会让人觉得在弱化女性但是在整体来说四个女演员像同一个人在不同身份下面对不同人遇到类似事情的不同方式还是挺好的看似平行时空下毫无关系的四组故事却又有这千丝万缕的联系印象最深的是一直在车上的那组戏左溢那个台词带出的上海腔调用幽默的方式也体现了很多现实挺期待左溢更多优秀的作品,0.5287437,,0.4712563,positive
并且四段故事折射到现实里都是我们也会遇到的比较现实的问题，,0.45034152,,0.54965848,negative
最后也没解释清楚女主到底死了没有还有经常出现的镜头到底势幻境还是现实。,0.45305837,,0.54694163,negative
西南地区果然适合魔幻现实主义。,0.50072392,,0.49927608,positive
几笔梦境和超现实笔触锦上添花。,0.53672959,,0.46327041,positive
现实案件是一个无业游民赌徒老妈教唆女儿绑架同学捞取赎金，,0.37031997,,0.62968003,negative
说实话这样一部现实题材女性作品能达到现在这个完成度，,0.47192041,,0.52807959,negative
留守人群与萧条城市的现实图景相互映照，,0.52742503,,0.47257497,positive
而现实题材的亲情戏码，,0.50131839,,0.49868161,positive
这样的现实题材，,0.49787261,,0.50212739,negative
确实高于预期了...听说根据现实事件改编，,0.48284768,,0.51715232,negative
2.破败小城市魔幻现实的气氛，,0.33620841,,0.66379159,negative
二者都是过审的保护色：魔幻感能拉开与现实的距离，,0.44844694,,0.55155306,negative
魔幻现实成为普遍风格，,0.50037745,,0.49962255,positive
3.也有对家庭关系以外社会现实带血带泪的批评，,0.41313371,,0.58686629,negative
第六代说现实主义安全说了多少年了？,0.49517883,,0.50482117,negative
每一次的恋情都藏着对于现实问题的思考,0.60954573,,0.39045427,positive
现实的女友的缺点是什么？,0.4783632,,0.5216368,negative
不好但没有特别烂基本上很多情节是合理的特别男女主结局怎么安排在一起还是很有新意的并不是像别的片子那样兜兜转转一圈下来发现“呀原来最合适的人就在身边”很烂俗槽点也很多风格不大陆也不台湾有时候有点像日剧但感觉又很奇怪整体明明就很脱离现实语境但导演貌似又想反映一些现实问题就搞得很尴尬不过金鱼姬是真的很好看,0.40460193,,0.59539807,negative
张宥浩长得确实像现实中会存在的职校混混，,0.49712273,,0.50287727,negative
在很现实的语境中表达悲剧。,0.31418328,,0.68581672,negative
本片有一定的社会现实表达立意，,0.49562835,,0.50437165,negative
这些直面台湾中低层民众生存状态、揭露台湾家庭关系困境与社会矛盾的现实主义题材电影，,0.48384451,,0.51615549,negative
现实就是这样发生的，,0.49810719,,0.50189281,negative
）但现实主义的作品往往需要比现实更合情理才能立得住，,0.49434766,,0.50565234,negative
这可能是现实主义超越现实的地方，,0.49702423,,0.50297577,negative
也是现实主义创作最困难的部分。,0.49682234,,0.50317766,negative
是理想与现实撞击后的极端挣扎，,0.4913178,,0.5086822,negative
华人世界现实层面的家庭亲情关系，,0.48975834,,0.51024166,negative
一次对于现实的无能为力。,0.26974013,,0.73025987,negative
非现实空间玩的好。,0.5207811,,0.4792189,positive
正是由于父母与孩子沟通之间存在隔阂才导致了ason成为现实的悲剧。,0.32629886,,0.67370114,negative
现实却是阿文举起石头砸向不断惹麻烦的菜头。,0.41931945,,0.58068055,negative
在空荡荡的补习班瞬间坐满瞌睡的同学那处超现实手笔中，,0.44141746,,0.55858254,negative
你也很难在当下/说国语的范畴里看到更好的现实主义电影了,0.45979026,,0.54020974,negative
他们总是能把生活和现实表现的很透彻，,0.52045725,,0.47954275,positive
后半段随着人物面临现实抉择就完全变成现实主义风格了。,0.46699464,,0.53300536,negative
何尝不是欧美与中国经济的现实写照？,0.49943227,,0.50056773,negative
一点不符合逻辑现实，,0.29235786,,0.70764214,negative
几乎所有的触动都来自现实事件和人物，,0.40906186,,0.59093814,negative
但：现实很骨感，,0.35106613,,0.64893387,negative
其他成年人和现实中也很一致。,0.53504034,,0.46495966,positive
只认可它的现实关注。,0.50229137,,0.49770863,positive
大人最擅长用现实给我们上人生的“第一课”。,0.49280065,,0.50719935,negative
大大小小几场打斗且不提现实性，,0.47556964,,0.52443036,negative
没有疯狂的石头那种现实批判力，,0.3793129,,0.6206871,negative
虽然有贴近现实的勇气，,0.41031216,,0.58968784,negative
伪饰的现实主义，,0.48711787,,0.51288213,negative
尤其是在这现实风题材中，,0.50002497,,0.49997503,positive
暗合了她的现实遭遇，,0.4461213,,0.5538787,negative
本片用喜剧将影像导向所谓现实主义，,0.47800507,,0.52199493,negative
但喜剧又划下影像与现实间的沟壑。,0.51783751,,0.48216249,positive
使得影片在黑色喜剧和社会现实剧中游移不定。,0.5168295,,0.4831705,positive
大概依旧是最为令人疼痛的现实吧。,0.36979907,,0.63020093,negative
但整个诈骗行为的不可信与影片的谜之现实质感太相冲了。,0.3553901,,0.6446099,negative
或现实彻骨，,0.49776023,,0.50223977,negative
但又不做好现实基底，,0.49397999,,0.50602001,negative
作为现实主义题材，,0.50001133,,0.49998867,positive
整个看下来现实题材的冲击力和商业的爽感都不到位。,0.37785571,,0.62214429,negative
审视了没有非黑即白的现实。,0.38778907,,0.61221093,negative
现实中有多少岳淼淼死在那条河里,0.39193567,,0.60806433,negative
如果宁浩及他的猴子们继续批量制作这类看似现实实则童话的故事，,0.5015856,,0.4984144,positive
这是一部经过和谐的现实的镜子啊。,0.44218899,,0.55781101,negative
也没有更多的关注或延伸到现实内容的东西；三位主演演技到确实都没得说，,0.46883152,,0.53116848,negative
也没有足够黑色的现实主义共鸣，,0.46620198,,0.53379802,negative
对女性角色善意的无限期待体现了现实对女性的恶意。,0.47016968,,0.52983032,negative
如果现实生活中，,0.46547994,,0.53452006,negative
即使理智告诉我这在现实生活中很罕见，,0.44215849,,0.55784151,negative
东南亚到处飞不现实？,0.40149387,,0.59850613,negative
你在现实生活中碰到过吗？,0.48422673,,0.51577327,negative
而其实片子拍了好几重现实了，,0.50141243,,0.49858757,positive
虽然现实也有这样的事。,0.49955465,,0.50044535,negative
如果现实生活中有这种帅男追求我的话，,0.48843661,,0.51156339,negative
导演说HappyEnding是因为现实很难圆满，,0.43678317,,0.56321683,negative
在一个超验于现实的自洽系统中自行运转，,0.46106111,,0.53893889,negative
他不沉迷于物质现实的复原，,0.37032341,,0.62967659,negative
剥离现实属性，,0.49733149,,0.50266851,negative
看似荒唐的故事也有着刺痛现实的能力。,0.39260463,,0.60739537,negative
