__label__like , 逃狱 好看 片子
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , 一部 励志 电影 故事 金色 沙滩 万人 向往 没什么 仅此而已 电影 致敬 经典 路线 导演 去死吧
__label__like , 足够 五星
__label__like , 小说
__label__nlike , 
__label__nlike , 确实 经典
__label__like , 原谅 无知 肤浅 大众 经典 感冒
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__nlike , 确实 经典
__label__nlike , 
__label__like , 和尚
__label__like , 世界 残忍 惟有 坚强
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 主流 杰作
__label__like , 高智商 男人 惹不起 Andy 老布 假释 习惯 外面 社会 监狱 自杀 想象 Red 假释 幸好 Andy 希望 狱中 Red 步老布 后尘 逃出去 坏人 一道 真的
__label__nlike , 传闻中 好看
__label__like , 震撼 触动 心灵 片子
__label__nlike , 希望 东西
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 2008 第一次 看肖 申克 观影 不到 五百 五星 见识 九年 豆瓣 标注 看过 超过 三千 第二次 五星 滴水不漏
__label__like , 滞于 瓶颈 充满 力量
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 希望 友谊 生命 延续
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 经典 境界 提升
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 喜欢 救赎
__label__like , 喜欢
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 重温 经典
__label__nlike , 解救
__label__like , Fear hold prisoner Hope set free
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 真的 四星 说不出来 不好
__label__like , 男人 舍得 背叛
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 希望 事情
__label__like , 班里 爬出来 全班 欢呼
__label__nlike , Your friend Andy
__label__like , 闲来无事 一遍 肖申克 救赎 这回 国语 配音 那年 奥斯卡 斩获 大奖 斯蒂芬 小说 描绘 一遍 改动 观众 先前 已读 小说 刺激 1995
__label__like , 纵身 一跃 自由
__label__like , 自由 渴望
__label__nlike , 
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 好好 想想 评论
__label__like , PB 原型 确实 好片 喜欢
__label__like , hold dream step death
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 不行 五星 改成 四星 史蒂芬 原著 电影 TMD
__label__nlike , 
__label__nlike , 
__label__like , 蓝天 碧海 感人
__label__like , 希望 危险 东西
__label__like , 真的 毅力 失败 努力 没什么
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 情况 没人 剥夺 内心 希望
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 明明 勇敢 心式 狗血
__label__like , 超级 经典 越狱 经典 不知 多少倍
__label__like , 大二 上公 选课 老师 介绍 一部 经典电影 带给 满满的 震撼
__label__nlike , 
__label__nlike , 信念
__label__like , 输给 阿甘
__label__like , 期待 过高 导致 失望
__label__like , 希望 美好 东西
__label__like , 碧海 蓝天 恢宏 音乐 响起 泪水 滑出 眼眶 真的 希望 一件 好事
__label__like , 这部 片子 播后 入狱 场景 衍生 一系列 人文 教皇 典狱长 东西 两派 同性 轧成 美国 监狱 少不了 场景 津津乐道 场面 男主角 逃脱 出狱 后迎 风雨 呐喊 自由 场景
__label__like , 二十年 时间 不想 这片 称赞 美德 恶心 本来 只想 清理 硬盘 二十分钟 不妙 片子 完成度 太高 精致 演员 布景 化妆 节奏 运镜 我想糊 导演 一脸 童话 结局 没法 减星
__label__like , 有种 东西 铁窗 关不住 拘束 无形
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__like , 越狱 蓝本
__label__like , 
__label__like , 一对 狗男女 偷情 电影 终归 好奇心
__label__like , 希望 ....
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 好片 解释
__label__like , 看过 人才 永恒
__label__nlike , 希望 东西
__label__like , 相比 飞越 疯人院
__label__nlike , 解救
__label__like , 
__label__nlike , 生活 五百
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , 喜欢 救赎
__label__like , 还用说
__label__nlike , 
__label__nlike , 名字
__label__like , omg 拉片 真的 不想 分析 剧本 慢慢 回味
__label__like , 经典 自由 体制 信念 此生
__label__like , 希望 热情 热情 希望 灵魂深处 冲动
__label__like , 能触 碰到 人心 细腻 打动
__label__like , 挣扎 等待 希望
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , crush
__label__nlike , 
__label__like , HOPE 正义 得不到 伸张 只能 救赎 过活 生命 意义 胜利 源于 那二 十年如一日 佩服 隐忍 男人
__label__nlike , 
__label__nlike , 生活 五百
__label__like , Andy 留给 执着 自由 追求
__label__like , 经典
__label__like , 經典 最後人 思想 不屈 渴望 自由 帶著 憤恨 渴望 自由 忍受 苦難 忍受 本不應 苦難 期間 自由 輕松 精神 世界
__label__like , 太好 好看
__label__like , 
__label__nlike , 好片 解释
__label__nlike , hope good thing
__label__nlike , 经典 复制
__label__nlike , 大智大勇
__label__like , 监狱 生命 过程 只能 时间 刻度 高涨 热情 只能 无可奈何 地向 失望 举起 双手 宿命 接受 命运 安排
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 周密计划 化为 夜晚 自由 之旅
__label__like , 等待 武器
__label__nlike , Your friend Andy
__label__like , 看过 男人 男人
__label__nlike , 自由 高于 生命
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 大智大勇
__label__like , 希望 完美 诠释
__label__nlike , 希望 东西
__label__like , 生活 欺骗 满怀希望
__label__like , Hope good thing thing
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__nlike , 大智大勇
__label__like , 标志 美国式 英雄 浪漫主义
__label__like , 这部 电影 没什么 史上 完美 电影 一秒 时间
__label__like , 注定 被关 笼子 羽毛 闪耀着 自由 光辉
__label__like , 评价 多余
__label__nlike , 解救
__label__nlike , 希望 事情
__label__like , 不错
__label__like , 非看 电影
__label__like , 喷打 四星 三星 水平 远逊 小说 原著 小说 平铺直叙 调子 讲到 电影 咋咋呼呼 效果 好多
__label__nlike , 国产片 红歌
__label__like , 明白 广受 追捧
__label__like , 早就 一部 剧情 电影 观影 巅峰 中国 希望 早日 当代 国产电影 优秀 力作 大神 追求 浮夸 这是 艺术 国产 大片 只会 引来 网民 狂欢 丢人 晚安
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__nlike , 国产片 红歌
__label__like , 知识 力量 电影 名字 多年 提不起 兴趣
__label__nlike , 看过 几个 演员 厉害
__label__like , 这部 电影 看过 真多 看过
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , 自作聪明
__label__nlike , 经典 复制
__label__like , busy living busy dying
__label__like , 9.2 340187 始终 欲望
__label__like , 开天 之作 后无来者
__label__nlike , 自作聪明
__label__nlike , 自由 高于 生命
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 精彩
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 解救
__label__like , 错过 惊讶
__label__like , Hope good thing
__label__like , 好几遍 永远 经典
__label__like , 好看 越狱 越狱 好看
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 美国 监狱 打人 真狠 打死 很早以前 监狱 只不过 改变命运 人生 地方 监狱 和蔼 老人 喂养 翅膀 受伤 小鸟 被关 笼子 羽毛 鲜艳 欣赏 罪恶 定会 感到 寂寞 希望 事情 汲汲于 汲汲于 自由 信念
__label__like , 自由
__label__like , 带给 力量
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 希望 事情
__label__like , Some birds aren meant caged Their feathers bright
__label__like , 生命 赌博 机会
__label__like , 不多
__label__like , 真实
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 信念
__label__like , 绝望 这部 电影 一种 重生 感觉
__label__nlike , 经典 境界 提升
__label__like , 喜欢 喜欢 救赎
__label__like , 信念
__label__like , 表面 瑞德 高墙 憎恨 处之泰然
__label__like , 看过 看过 几遍 这是 无数 青年 励志 之作 不看 剧情 好看 看过
__label__like , 神片 解释
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__nlike , 地方 落下 泪来
__label__nlike , 经典 境界 提升
__label__like , 信念
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 经典 复制
__label__nlike , 希望 东西
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 女主角 电影
__label__like , 肖申克 救赎 超越 经典
__label__nlike , 名字
__label__like , Hope good thing thing world
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 大智大勇
__label__nlike , 男人 触动
__label__nlike , 地方 落下 泪来
__label__like , 时间 老化 肉体 消磨 意志
__label__like , 重温 一遍 好好看
__label__nlike , 信念
__label__nlike , 希望 事情
__label__nlike , 信念
__label__like , 这部 影片 印象 深刻 信念 友情 内心 希望 种子 种子 遗忘 丢失 现实 囚禁 行尸走肉
__label__nlike , 经典 复制
__label__like , 完美 影片
__label__like , 电影 完美
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , Fear Can Hold You Prisoner Hope Can Set You Free
__label__nlike , 希望 事情
__label__like , freedom forever
__label__like , 经典
__label__nlike , 大智大勇
__label__like , 名副其实 越狱 老祖宗
__label__nlike , 信念
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__nlike , 事情
__label__like , Get busy living busy dying
__label__like , 艾迪 一只 羽毛 太漂亮 多年 妻子 赎罪 向往 自由
__label__nlike , hope good thing
__label__nlike , 名字
__label__like , 经典 经典
__label__nlike , 希望 事情 希望
__label__like , 不管怎么 真的 佩服 男主 毅力 情况 迷失 追求 向往 自由
__label__nlike , 喜欢 救赎
__label__like , 人生 希望
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 墙里 自由 墙外
__label__nlike , 大智大勇
__label__like , 高估 NC
__label__like , 公不 公平 命运 手里
__label__nlike , Your friend Andy
__label__like , 登记 豆娘 丫倒 长点 记性
__label__nlike , Your friend Andy
__label__nlike , 经典 复制
__label__nlike , Your friend Andy
__label__nlike , 经典 境界 提升
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__nlike , 地方 落下 泪来
__label__nlike , 希望 东西
__label__nlike , 喜欢 救赎
__label__nlike , 名字
__label__like , 各大 榜单 排行榜 这部 电影 排到 第一 感觉 高估 这部 电影 喜欢 原著
__label__like , 喜欢
__label__like , 对不起 戒酒
__label__like , 改变 价值观 一部 电影 三次
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 基督山 伯爵 美利 堅化
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 自由 无价 无价 无价 自由
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 原作 不错
__label__nlike , 国产片 红歌
__label__like , 人生 错过 电影
__label__like , 希望 磨灭
__label__like , 生命 无限 敬畏
__label__like , 实干型 越狱 老前辈
__label__nlike , 信念
__label__nlike , 经典 境界 提升
__label__like , 喜欢 电影 希望 力量
__label__like , 信念 天堂
__label__like , 希望 面对 生活 不幸 勇敢 活下去 一种 改变 不幸 自我 救赎
__label__nlike , 好评 不差
__label__nlike , 
__label__nlike , 生活 五百
__label__nlike , 一般般
__label__like , 貌似 澳门 第一部 电影 学校 电脑室
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 被誉为 影史 最棒 排名 肯定 经典 缜密 逃狱 现代版 基督山 恩仇记 弗兰克 德拉 叙事 有板有眼 斯蒂芬 大师 经典小说 很会 精妙 铺垫 转移 注意力 一幅 美女 背后 地道 蒂姆 罗宾斯 冤狱 饱受 欺凌 监狱 黑暗 腐朽 摩根 出狱 难融 社会 遭遇 自由 曙光 向往 很棒 人性 反思 力作
__label__nlike , 好评 不差
__label__nlike , 好片 解释
__label__like , 真的 超酷
__label__like , 拖拉 精彩 经典 越狱 老师
__label__nlike , 好评 不差
__label__like , 自由
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 信念
__label__like , 丢弃 唯独 希望
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__nlike , 看过 几个 演员 厉害
__label__like , 影响 最深
__label__like , 无话可说 经典
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 看过 两遍 一条 漫长 自由 灵魂深处 洗涤 一部 不朽 励志 经典 希望 旨意 安睡 在内 挖空 圣经 附着 安迪 高大 身躯 匍匐 500 下水道 那条 肮脏 之路 安迪 送往 美丽 新世界
__label__like , 救赎
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 世上 影片
__label__nlike , 自由 高于 生命
__label__like , 经典
__label__like , 一抹 红色 最终 消失
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 不多 经典
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 生活 五百
__label__like , 感动
__label__like , 完美
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 感覺 自由
__label__like , 男主角 聪明 厉害
__label__like , Can classic
__label__like , 必看
__label__nlike , 男人 触动
__label__like , 很棒 片子 演员 编剧
__label__like , 依然 喜欢
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 经典影片
__label__like , 满分 自由 这部 电影 观念 世上无难事 只怕有心人
__label__like , 不到 结局 不到 惊异
__label__like , 震撼 一丝 无奈 感觉 一词 褒义 某种 捆绑 自由 令人 不知所措
__label__like , 震撼人心
__label__nlike , 
__label__like , 想要 重复 危机 过程 结局 希望 事情 发生 希望 拯救 希望 那种 排除万难 悲情 成就感 迷恋 挫败 感觉 迷恋 痛苦 感觉 迷恋 万劫不复 结局
__label__like , 台词 不错 喜欢 表演 风格 不算 压抑 喜欢 狱中 逃出 淋得 淋漓 透彻 一段 自由 两个 刺激
__label__nlike , 好片 解释
__label__like , 希望 肖申克式 救赎
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 黑暗 安迪 遭受 不白之冤 黑暗 安迪 重获 自由
__label__like , 看过 多遍 人性 独到 阐述 理解 每看 体会
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__like , 懷抱 希望 並堅定 實現 正經事
__label__nlike , 喜欢 摩根 弗里
__label__like , 决心 威力 工具
__label__nlike , 自由 高于 生命
__label__nlike , 好评 不差
__label__like , 理由 满分
__label__like , 印象 那幅
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 悲惨 时常 想起 安迪 地狱 爬出来 痛苦 fight
__label__nlike , 国产片 红歌
__label__like , 鸟儿 永远 关不住 羽翼 沾满 自由 光辉 高墙 有意思 痛恨 时间 变得 离不开 依赖 体制 希望 美好 也许 世间 美好 东西 美好 事物 永不 消逝
__label__like , 自由 长伴
__label__nlike , 大智大勇
__label__nlike , 
__label__like , 高端 装逼 片儿
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 希望 东西
__label__like , 也许 暂时 通到
__label__like , 书比 电影 要好看
__label__nlike , 一般般
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , didn shoot wife didn shoot lover 
 Whatever mistakes made 
 ve paid
__label__like , 看过 经典 名片 imdb 排名 片子 可惜 人剧
__label__nlike , 喜欢 救赎
__label__like , 经典
__label__like , 渴望 自由
__label__nlike , 国产片 红歌
__label__like , 五个 星是
__label__nlike , 大智大勇
__label__like , 心灵 治愈 之旅 希望 自由 前提 内心 脆弱 只能 习惯 更好 生活 想要 自由 热忱 希望 自由 生活 渴望
__label__like , 很多遍 好看 .... 剧情 太给力
__label__nlike , 确实 经典
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 事情
__label__like , freedom
__label__nlike , 大智大勇
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , hope good thing
__label__like , 料到
__label__nlike , 事情
__label__like , 心中 永远 经典 胜过 阿甘
__label__nlike , 经典 复制
__label__like , 希望 世界 事物
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 国产片 红歌
__label__nlike , 男人 触动
__label__nlike , Your friend Andy
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , 自由 高于 生命
__label__nlike , 信念
__label__like , 始终 孤独 奋战 自由 自由
__label__nlike , 大智大勇
__label__like , 每次 自杀 老人 眼泪
__label__like , 救赎
__label__like , 影视 简介 豆瓣 专职人员 撰写 影片 官方 提供 版权 豆瓣 未经许可 转载 整体 内容 世纪 年代 小有成就 青年 银行家 安迪 蒂姆 罗宾斯 Tim Robbins 因涉嫌 杀害 妻子 情人 锒铛入狱 这座 名为 肖申克 监狱 希望
__label__like , 高中 第一节 心理 一种 关不住 羽毛 闪耀着 自由 光辉 不幸 逆反 宣言 哈哈哈
__label__like , 哑然
__label__nlike , 生活 五百
__label__like , 无冕之王
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 解救
__label__like , 2009 结束 室友 半夜 三点
__label__like , 精彩 永远 放弃 成功 努力 一点点 坚持不懈 总会 收获
__label__nlike , 一般般
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 记住 希望 好事 也许 人间 至善 美好 永不 消失
__label__like , 好像 无助 老人 这一 形象 画面 表现力 大于 文字 原著
__label__like , 阿耶
__label__like , 
__label__nlike , 希望 东西
__label__nlike , 生活 五百
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 传闻中 好看
__label__nlike , 希望 事情
__label__nlike , 确实 经典
__label__nlike , 自作聪明
__label__like , 救赎
__label__like , NO.1
__label__like , 电影 打分 喜欢 结局 四星 盲目 跟风
__label__nlike , hope good thing
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 男人 看吧
__label__nlike , 传闻中 好看
__label__nlike , 事情
__label__like , hope
__label__like , 欠缺
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 国产片 红歌
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 大智大勇
__label__like , 豆瓣 调侃 专用
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__nlike , 地方 落下 泪来
__label__nlike , 自由 高于 生命
__label__like , 迄今为止 励志 一部
__label__nlike , hope good thing
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 成功 原著 实诚 态度
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__nlike , 经典 复制
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__nlike , 看过 几个 演员 厉害
__label__like , 经典
__label__nlike , 
__label__like , 百看不厌
__label__like , 信念 人才 希望
__label__like , 真的
__label__nlike , 确实 经典
__label__nlike , 名字
__label__like , 作品 必有
__label__nlike , 自由 高于 生命
__label__nlike , 喜欢 救赎
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 是因为 年龄 阅历 这部 电影 多大 感触 Andy 一幕 长大 这部 电影 感触
__label__like , 
__label__like , 无冕之王 不想 后期 之辈多 离谱 不复 荣光 时间
__label__nlike , Your friend Andy
__label__nlike , 好片 解释
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , Bravo
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 名字
__label__like , 一遍 发现 摆脱 字幕
__label__like , 
__label__nlike , 喜欢 救赎
__label__like , 好像
__label__like , 没劲
__label__like , 无疑 一部 经典 爱死
__label__like , 震撼
__label__like , 好看
__label__nlike , 好片 解释
__label__like , 说实话 片子
__label__like , 时间 希望 自由 感受 一段 人生 羽翼 光辉 世界 黑暗 牢狱 长久 围困
__label__like , 励志
__label__like , 聪明人 果子吃
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 
__label__like , 理由 五星 环境 身份 活着 信念
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , 生活 五百
__label__nlike , 好片 解释
__label__nlike , 经典 境界 提升
__label__like , 重看 影城 超越 年代 主流 心灵鸡汤 依然 灌得 眼泪 直冒 世上 希望 多行 一步 希望 绝望 黑暗 生出 倔强 微光 卡夫卡 悖论 每人 背负着 有形 无形 肖申克 注定 囚禁 鸟儿 挣脱 桎梏 天才 善于 做梦 类型 元素 集成 充满 匠气 完美 作品
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 大海 场景 我震
__label__like , 37927 希望
__label__like , 两个 足够 无需 过多 评价
__label__nlike , 
__label__nlike , 
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 传闻中 好看
__label__nlike , 希望 东西
__label__like , 不错
__label__nlike , 地方 落下 泪来
__label__like , 去掉 煽情 旁白 一颗
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 自由 高于 生命
__label__like , 久违 经典
__label__nlike , 希望 事情 希望
__label__like , 永遠 經典
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__nlike , 男人 触动
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 喜欢 电影
__label__like , 也许 类似 故事 看得 太多 给出 五星
__label__like , 期待 励志
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 希望 自由
__label__nlike , 男人 触动
__label__like , 终于 机会 这部 电影 真的 很棒
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , 地方 落下 泪来
__label__nlike , 希望 事情 希望
__label__like , 功夫 小锤 凿出 人生
__label__nlike , 生活 五百
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 几次
__label__like , 经典 解释 记得 火车
__label__nlike , hope good thing
__label__like , hope beautiful
__label__like , 李良明 美术课
__label__like , 当年 杯具
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , 这部 越来越 喜爱 电影 在我心中 地位 不由 下降 故事 传奇 演员 表演 完美 Morgan Freeman 旁白
__label__like , 身邊 所有人 那樣 激烈 情緒 出現 感動 激奮 觸動 什麼 出來 覺得 真的 平常 不過 事情 身處 不會 有別 選擇 選擇 自由 信仰 有別 答案 這是 唯一
__label__nlike , 经典 复制
__label__like , 高估 电影
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 当年 喜欢 电影 浪漫 英雄主义 情怀 老旧 永不 过时 喜欢 歌剧 一段
__label__like , 多年 电影 肖甲克 救赎 电影 肖申克 救赎 后悔 多年 电影 置之不理
__label__nlike , 希望 事情 希望
__label__like , 人生 过得 电影 估计 超越 一较高下 电影 哥到 喜欢 阿甘正传 阿甘 不好 只怪 风头
__label__like , 希望
__label__like , 重获 新生 此片
__label__like , 自由
__label__like , 构思 独特
__label__nlike , 希望 事情 希望
__label__like , 电影 精彩 越狱 狗尾续貂
__label__like , 经典 经典
__label__like , 约等于
__label__like , 电影 感慨 细说 感慨
__label__nlike , 一般般
__label__like , 真的 好好 好看 十次 呜呜 好感 男女 感情 男主角 看得 眼泪汪汪 安迪好 聪明 两个 男银真
__label__like , 自由 自由 自由
__label__nlike , 看过 几个 演员 厉害
__label__like , 重温
__label__nlike , 一般般
__label__nlike , 确实 经典
__label__nlike , 希望 事情
__label__like , 彪悍 人生 解释
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , 种鸟 关不住
__label__nlike , 喜欢 救赎
__label__like , 晚上
__label__nlike , 信念
__label__nlike , 好评 不差
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 真的 很赞
__label__nlike , 事情
__label__nlike , 希望 事情 希望
__label__like , 电影版 越狱 挖地道 神马 真是太 niubility
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 经典 桥段 后人 无数次 原版 没什么 感觉 教父 阿甘正传 电影 有种 无可奈何 感觉
__label__nlike , 事情
__label__like , 这是 自由 灵魂 拘禁 挫败 身居 改变 环境 环境 改变
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 当安迪 弗里 曼在 海边 相遇 那一刻
__label__nlike , 解救
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 一遍 原著 小说 电影 好看
__label__nlike , 男人 触动
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 地方 落下 泪来
__label__nlike , 好评 不差
__label__like , 经典
__label__like , 看一遍
__label__like , 越狱 鼻祖
__label__like , 经典 确实 经典
__label__like , 越狱 变态 升级版
__label__like , 傻子 励志
__label__like , 好看
__label__like , 一部 电影
__label__like , 锄头 圣经 绝妙 主意
__label__like , 几遍 评论
__label__like , 神作
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 希望 事情 希望
__label__nlike , 解救
__label__nlike , 经典 境界 提升
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__like , 原著 感人
__label__nlike , 经典 境界 提升
__label__nlike , 自作聪明
__label__like , 永远 经典
__label__nlike , 经典 境界 提升
__label__nlike , 经典 复制
__label__like , 很多遍 每次 体会 作品 魅力
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
